Skater Name	sktrnm
!(ED	t
!Wolfespit	wlfspt
"A" Cup Annihilator	kpnhltr
"Bobby" Val Halen	bbflhln
"Chupa'clark'bra"	xpklrkbr
"Hawii"	hw
"MANTRACKER"	mntrkr
"Mush"inator  	mxntr
"Release the Kraken" Clattenburg	rls0krknkltnbrk
"Shock"Ira	xkr
#1 Psycho	psx
#N.R.G.	nrk
#Pirate Killings	prtklnks
$2 Pistol	pstl
$3 bill	bl
$Hockaholic	hkhlk
$Hot	ht
$LOT MA SHEEN	ltmxn
$Trawbury $hotcake	trbrhtkk
(Expletive Deleted)	kspltftltt
*Glitter*Split'her*Barbie*	kltrsplthrbrb
*Pinky* The *Glitterator*	pnk0kltrtr
*RockerCat*	rkrkt
*Turbol Girl*	trbljrl
.357 MADAME	mtm
.357 Maggie	mk
.38 SpeShell	spxl
.50 Cal	kl
.50 Caliber Killer	klbrklr
.50 Kal Kitten	klktn
.CC Rip Jaw	kkrpj
.Vicious Vinifera	fssfnfr
'Bouta HurtYa	bthrty
'Kaneage!'	knj
1 Hit Wonder	htwntr
1 UP	p
1,000 Hurts	hrts
1/2 Blood Princess	bltprnss
1/2 Eve.L	fl
1/2 Nelson Nellie	nlsnnl
1/2 Pint Destroy Her	pnttstrhr
1/2 Pint Jack	pntjk
1/2 pint mayhem	pntmhm
1/2 Pint Painbuster	pntpnbstr
1/2 pt. Smack	ptsmk
1/2Xican	kskn
1/4 Pound-Her	pnthr
10 Cent	snt
10 Guage Rage	kjrj
1080'sKaty	skt
10Acious-D	sst
12 Gage	kj
12 Gauge	kj
12 Guage Tinkerbell	kjtnkrbl
12 Volt	flt
12Gauge Paige	kjpj
13th Floor Hellevator	0flrhlftr
15X	ks
16th.note.slicer	0ntslsr
18 Wheel'Her	hlhr
18-Hour Broad	hrbrt
1PAC	pk
1st ClassAzz	stklss
1st Degree Marie	sttkrmr
2 Buck Chuck $2	bkxk
2 C.A.S.T.	kst
2 Faced	fst
2 Pack ShockHer	pkxkhr
2 Quik	kk
