League	Team Name	Date Added	Team Type	&nbsp;	&nbsp;	&nbsp;	
580 Roller Girls	580 Roller Girls	11-20-2010	League	&nbsp;	&nbsp;	&nbsp;	
Aarhus Derby Dolls	Aarhus Derby Dolls	8-24-2010	League	&nbsp;	&nbsp;	&nbsp;	
Aberdeen Aces	Aberdeen Aces	09-27-07	League	&nbsp;	&nbsp;	&nbsp;	
Adelaide Roller Derby	The Adeladies	03-20-10	Travel	&nbsp;	&nbsp;	&nbsp;	
Adelaide Roller Derby	Wild Hearses	03-20-10	League	&nbsp;	&nbsp;	&nbsp;	
Adelaide Roller Derby	Road Train Rollers	03-20-10	League	&nbsp;	&nbsp;	&nbsp;	
Adelaide Roller Derby	Mile Die Club	03-20-10	League	&nbsp;	&nbsp;	&nbsp;	
Adelaide Roller Derby	Salty Dolls	03-20-10	League	&nbsp;	&nbsp;	&nbsp;	
AK Roller Derby League	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Alachua County Rollers	The Hunnies	09-21-10	League	&nbsp;	&nbsp;	&nbsp;	
Alamo City Rollergirls	Asphalt Assault	05-16-07	League	&nbsp;	&nbsp;	&nbsp;	
Alamo City Rollergirls	Dragon Divas	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Alamo City Rollergirls	Las Tejanas	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Alamo City Rollergirls	Missyfits	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Alamo City Rollergirls	Prim Reapers	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Albany All Stars	Department of Public Hurts	03-09-08	League	&nbsp;	&nbsp;	&nbsp;	
Albany All Stars	Empire Skate Troopers	03-09-08	League	&nbsp;	&nbsp;	&nbsp;	
Amsterdam Derby Dames	Amsterdam Derby Dames	10-13-10	League	&nbsp;	&nbsp;	&nbsp;	
Anfetamina Roller Girls	Anfetamina Roller Girls	11-14-10	League	&nbsp;	&nbsp;	&nbsp;	
Angel City Derby Girls	Hollywood Scarlets	03-22-10	Travel	&nbsp;	&nbsp;	&nbsp;	
Angel City Derby Girls	Rocket Queens	03-22-10	League	&nbsp;	&nbsp;	&nbsp;	
Arbuckle Derby Darlings	Arbuckle Derby Darlings	12-6-2010	League	&nbsp;	&nbsp;	&nbsp;	
Antihero Derby Alliance (The ADA)	Antihero Derby Alliance (The ADA)	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
Appalachian Rollergirls	Appalachian Rollergirls	9-14-2010	League	&nbsp;	&nbsp;	&nbsp;	
Arch Rival Roller Girls	St. Lunachix	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
Arch Rival Roller Girls	M-80s	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Arch Rival Roller Girls	Smashinistas	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Arch Rival Roller Girls	Stunt Devils	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Arch Rival Roller Girls	Rebel Skate Alliance	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Arizona Roller Derby	Bad News Beaters	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Arizona Roller Derby	Brawlarinas	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Arizona Roller Derby	Bruisers	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Arizona Roller Derby	Smash Squad	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Arizona Roller Derby	Surly Gurlies	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Arizona Roller Derby	Tent City Terrors	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
Arizona Roller Girls	The Dropkick Mollys	6-9-2011	League	&nbsp;	&nbsp;	&nbsp;	
Ark Valley High Rollers	Ark Valley High Rollers	9-28-2010	League	&nbsp;	&nbsp;	&nbsp;	
Arnhem Fallen Angels	Arnhem Fallen Angels	4-22-2011	League	&nbsp;	&nbsp;	&nbsp;	
Assassination City Roller Derby	Special OPs	3-3-2010	Travel	&nbsp;	&nbsp;	&nbsp;	
Assassination City Roller Derby	Dirty Little Secret Service	3-3-2010	Travel	&nbsp;	&nbsp;	&nbsp;	
Assassination City Roller Derby	Bombshell Brigade	3-3-2010	League	&nbsp;	&nbsp;	&nbsp;	
Assassination City Roller Derby	The Deadly Kennedys	3-3-2010	League	&nbsp;	&nbsp;	&nbsp;	
Assassination City Roller Derby	La Revolucion	3-3-2010	League	&nbsp;	&nbsp;	&nbsp;	
Assassination City Roller Derby	Lone Star Assassins	3-3-2010	League	&nbsp;	&nbsp;	&nbsp;	
Assault City Roller Derby	Assault City Roller Derby	03-24-10	A Travel	&nbsp;	&nbsp;	&nbsp;	
Assault City Roller Derby	Assault City Roller Derby	03-24-10	B Travel	&nbsp;	&nbsp;	&nbsp;	
A-Town Derby Dollz	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Athens Ohio Roller Derby	Down & Skirty Derby Dolls	08-18-10	League	&nbsp;	&nbsp;	&nbsp;	
Atlanta Rollergirls	Dirty South Derby Girls	10-23-08	A Travel	&nbsp;	&nbsp;	&nbsp;	
Atlanta Rollergirls	Rumble Bees	03-03-09	B Travel	&nbsp;	&nbsp;	&nbsp;	
Atlanta Rollergirls	Apocalypstix	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Atlanta Rollergirls	Denim Demons	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Atlanta Rollergirls	Sake Tuyas	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Atlanta Rollergirls	Toxic Shocks	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Atomic City Rollergirls	Atomic City Rollergirls	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
Auld Reekie Roller Girls	Twisted Thistles All Star Travel Team	03-03-10	Travel	&nbsp;	&nbsp;	&nbsp;	
Auld Reekie Roller Girls	Cannon Belles B Team	03-03-10	League	&nbsp;	&nbsp;	&nbsp;	
Auld Reekie Roller Girls	Highland Heathens	03-03-10	League	&nbsp;	&nbsp;	&nbsp;	
Auld Reekie Roller Girls	Celtic Chaos	03-03-10	League	&nbsp;	&nbsp;	&nbsp;	
Austin Derby Brats	Austin Derby Brats	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
AZ Dery Dames	Arizona Derby Dames	3-3-2010	League	&nbsp;	&nbsp;	&nbsp;	
AZ Derby Dames	Bombshells	3-3-2010	League	&nbsp;	&nbsp;	&nbsp;	
AZ Derby Dames	Brutal Beauties	3-3-2010	League	&nbsp;	&nbsp;	&nbsp;	
AZ Derby Dames	Coffin Draggers	3-3-2010	League	&nbsp;	&nbsp;	&nbsp;	
AZ Derby Dames	Schoolyard Scrappers	3-3-2010	League	&nbsp;	&nbsp;	&nbsp;	
AZ Derby Dames	Runaway Brides	3-3-2010	League	&nbsp;	&nbsp;	&nbsp;	
AZ Rollergirls	AZ Rollergirls	9-21-2010	League	&nbsp;	&nbsp;	&nbsp;	
Babe City Rollers	Choke Cherries	11-29-2010	League	&nbsp;	&nbsp;	&nbsp;	
Babe City Rollers	Knotty Pines	11-29-2010	League	&nbsp;	&nbsp;	&nbsp;	
Babe City Rollers	Snow Furies	11-29-2010	League	&nbsp;	&nbsp;	&nbsp;	
Bakersfield Diamond Divas	Bakersfield Diamond Divas	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Bakersfiel_d Junior Roller Derby	Bakersfiel_d Junior Roller Derby	2-18-2011	League	&nbsp;	&nbsp;	&nbsp;	
Bakersfield Roller Girls	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Ballarat Roller Derby League	The Rat Pack	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
Ballarat Roller Derby League	The Libertines	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Ballarat Roller Derby League	The Gold Diggers	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Barcelona Rollergirls	Barcelona Rollergirls	1-8-2011	League	&nbsp;	&nbsp;	&nbsp;	
Barock City Roller Derby	Barock City Roller Derby	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
Barry County Black Heart Maidens	Barry County Black Heart Maidens	10-9-2010	League	&nbsp;	&nbsp;	&nbsp;	
Basin Breaker Babes	Basin Breaker Babes	8-20-2010	League	&nbsp;	&nbsp;	&nbsp;	
Battle Born Derby Demons	Battle Born Derby Demons	&nbsp;	A Travel	&nbsp;	&nbsp;	&nbsp;	
Battle Born Derby Demons	Battle Born Derby Demons	&nbsp;	B Travel	&nbsp;	&nbsp;	&nbsp;	
Battle Creek Cereal Killers	Battle Creek Cereal Killers	4-22-2011	League	&nbsp;	&nbsp;	&nbsp;	
Battleground Roller Derby	Bombshell Bruisers	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Battleground Roller Derby	Queens of D'Nile	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Bay Area Derby Girls	All-Stars	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
Bay Area Derby Girls	Oakland Outlaws	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Bay Area Derby Girls	Richmond Wrecking Belles	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Bay Area Derby Girls	San Francisco Shevil Dead	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Bay Rollers	Bay Rollers	3-26-2011	League	&nbsp;	&nbsp;	&nbsp;	
Bayreuth Roller Derby	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Beach Brawl SK8R Dolls	Holograms	07-02-08	Travel	&nbsp;	&nbsp;	&nbsp;	
Beckley Roller Derby	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Bell County Bandits	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Belle City Roller Girls	Belles of the Brawl	02-22-11	League	&nbsp;	&nbsp;	&nbsp;	
Bellingham Roller Betties	Border Town Brawlers	08-29-07	Travel	&nbsp;	&nbsp;	&nbsp;	
Bellingham Roller Betties	Nuclear Power Trips	08-29-09	Travel	&nbsp;	&nbsp;	&nbsp;	
Bellingham Roller Betties	Blunt Force Trama	12-06-10	Travel	&nbsp;	&nbsp;	&nbsp;	
Bellingham Roller Betties	Tough Love	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Bellingham Roller Betties	Cog Blockers	12-26-08	League	&nbsp;	&nbsp;	&nbsp;	
Bellingham Roller Betties	Formidable League of Amazing Super Heroes	01-28-09	League	&nbsp;	&nbsp;	&nbsp;	
